parish_name,parish_code,ever_iline
EDS FÖRSAMLING AB LÄN,11401000,0
HAMMARBY FÖRSAMLING AB LÄN,11402000,0
FRESTA FÖRSAMLING,11403000,0
VALLENTUNA FÖRSAMLING,11501000,0
MARKIMS FÖRSAMLING,11502000,0
ORKESTA FÖRSAMLING,11503000,0
FRÖSUNDA FÖRSAMLING,11504000,0
KÅRSTA FÖRSAMLING,11505000,0
VADA FÖRSAMLING,11506000,0
ÖSSEBY GARNS FÖRSAMLING,11507000,0
ANGARNS FÖRSAMLING,11508000,0
ÖSTRA RYDS FÖRSAMLING AB LÄN,11701000,0
ÖSTERÅKERS FÖRSAMLING AB LÄN,11702000,0
LJUSTERÖ FÖRSAMLING,11703000,0
ROSLAGS KULLA FÖRSAMLING,11704000,0
VÄRMDÖ FÖRSAMLING,12001000,0
MÖJA FÖRSAMLING,12002000,0
DJURÖ FÖRSAMLING,12003000,0
NÄMDÖ FÖRSAMLING,12004000,0
INGARÖ FÖRSAMLING,12005000,0
JÄRFÄLLA FÖRSAMLING,12301000,0
MUNSÖ FÖRSAMLING,12501000,0
ADELSÖ FÖRSAMLING,12502000,0
EKERÖ FÖRSAMLING,12503000,0
LOVÖ FÖRSAMLING,12504000,0
HILLESHÖGS FÖRSAMLING,12505000,0
SKÅ FÖRSAMLING,12506000,0
SÅNGA FÖRSAMLING AB LÄN,12507000,0
FÄRENTUNA FÖRSAMLING,12508000,0
HUDDINGE FÖRSAMLING,12601000,0
BOTKYRKA FÖRSAMLING,12701000,0
GRÖDINGE FÖRSAMLING,12702000,0
SALEMS FÖRSAMLING,12801000,0
ÖSTERHANINGE FÖRSAMLING,13601000,0
UTÖ FÖRSAMLING,13603000,0
ORNÖ FÖRSAMLING,13604000,0
DALARÖ FÖRSAMLING,13605000,0
VÄSTERHANINGE FÖRSAMLING,13606000,0
MUSKÖ FÖRSAMLING,13607000,0
TYRESÖ FÖRSAMLING,13801000,0
BRO FÖRSAMLING AB LÄN,13901000,0
LÅSSA FÖRSAMLING,13902000,0
KUNGSÄNGENS FÖRSAMLING,13903000,0
VÄSTRA RYDS FÖRSAMLING AB LÄN,13904000,0
HÅBO TIBBLE FÖRSAMLING,13905000,0
HÅTUNA FÖRSAMLING,13906000,0
TÄBY FÖRSAMLING AB LÄN,16001000,0
DANDERYDS FÖRSAMLING,16201000,0
SOLLENTUNA FÖRSAMLING,16301000,0
STOCKHOLMS DOMKYRKOFÖRSAMLING,18001000,0
ADOLF FREDRIKS FÖRSAMLING,18005000,0
HEDVIG ELEONORA FÖRSAMLING,18010000,0
MARIA MAGDALENA FÖRSAMLING,18013000,0
KATARINA FÖRSAMLING,18015000,0
KUNGSHOLM ELLER ULRIKA ELEONORA,18018000,0
BRÄNNKYRKA FÖRSAMLING,18021000,0
BROMMA FÖRSAMLING AB LÄN,18027000,0
SPÅNGA FÖRSAMLING,18041000,0
SÖDERTÄLJE FÖRSAMLING,18101000,0
ÖSTERTÄLJE FÖRSAMLING,18102000,0
TVETA FÖRSAMLING AB LÄN,18103000,0
YTTERENHÖRNA FÖRSAMLING,18104001,0
ÖVERENHÖRNA FÖRSAMLING,18104002,0
TURINGE FÖRSAMLING,18105000,0
VÅRDINGE FÖRSAMLING,18106000,0
ÖVERJÄRNA FÖRSAMLING,18107000,0
YTTERJÄRNA FÖRSAMLING,18108000,0
TAXINGE FÖRSAMLING,18109000,0
HÖLÖ FÖRSAMLING,18110000,0
MÖRKÖ FÖRSAMLING,18111000,0
NACKA FÖRSAMLING,18201000,0
BOO FÖRSAMLING,18203000,0
SOLNA FÖRSAMLING,18401000,0
LIDINGÖ FÖRSAMLING,18601000,0
VAXHOLMS FÖRSAMLING,18701000,0
NORRTÄLJE FÖRSAMLING,18801000,0
VÄDDÖ FÖRSAMLING,18803000,0
SINGÖ FÖRSAMLING,18804000,0
HÄVERÖ FÖRSAMLING,18805000,0
EDEBO FÖRSAMLING,18806000,0
UNUNGE FÖRSAMLING,18807000,0
EDSBRO FÖRSAMLING,18808000,0
FASTERNA FÖRSAMLING,18809000,0
RIMBO FÖRSAMLING,18810000,0
RÖ FÖRSAMLING,18811000,0
SKEDERIDS FÖRSAMLING,18812000,0
HUSBY SJUHUNDRA FÖRSAMLING,18813000,0
GOTTRÖRA FÖRSAMLING,18814000,0
NÄRTUNA FÖRSAMLING,18815000,0
MALSTA FÖRSAMLING,18816000,0
LOHÄRADS FÖRSAMLING,18817000,0
ESTUNA FÖRSAMLING,18818000,0
SÖDERBY KARLS FÖRSAMLING,18819000,0
ROSLAGS BRO FÖRSAMLING,18820000,0
VÄTÖ FÖRSAMLING,18821000,0
RÅDMANSÖ FÖRSAMLING,18822000,0
FRÖTUNA FÖRSAMLING,18823000,0
BLIDÖ FÖRSAMLING,18824000,0
LÄNNA FÖRSAMLING AB LÄN,18825000,0
RIALA FÖRSAMLING,18826000,0
SIGTUNA FÖRSAMLING,19101000,0
SANKT OLOFS FÖRSAMLING AB LÄN,19102000,0
SANKT PERS FÖRSAMLING,19103000,0
HAGA FÖRSAMLING AB LÄN,19104000,0
ODENSALA FÖRSAMLING,19105000,0
HUSBY ÄRLINGHUNDRA FÖRSAMLING,19106000,0
SKÅNELA FÖRSAMLING,19107000,0
NORRSUNDA FÖRSAMLING,19108000,0
SKEPPTUNA FÖRSAMLING,19109000,0
LUNDA FÖRSAMLING AB LÄN,19110000,0
VIDBO FÖRSAMLING,19111000,0
SORUNDA FÖRSAMLING,19202000,0
TORÖ FÖRSAMLING,19203000,0
ÖSMO FÖRSAMLING,19204000,0
KALMARS FÖRSAMLING,30501000,0
YTTERGRANS FÖRSAMLING,30502000,0
ÖVERGRANS FÖRSAMLING,30503000,0
HÄGGEBY FÖRSAMLING,30504000,0
SKOKLOSTERS FÖRSAMLING,30505000,0
ÄLVKARLEBY FÖRSAMLING,31901000,1
TOLFTA FÖRSAMLING,36001000,1
VENDELS FÖRSAMLING,36003000,0
TEGELSMORA FÖRSAMLING,36004000,1
TIERPS FÖRSAMLING,36005000,1
SÖDERFORS FÖRSAMLING,36006000,1
VÄSTLANDS FÖRSAMLING,36007000,1
ÖSTERLÖVSTA FÖRSAMLING,36008000,0
HÅLLNÄS FÖRSAMLING,36009000,0
UPPSALA DOMKYRKOFÖRSAMLING,38001000,0
HELGA TREFALDIGHETS FÖRSAMLING,38002000,0
GAMLA UPPSALA FÖRSAMLING,38003000,0
VAKSALA FÖRSAMLING,38004000,0
DANMARKS FÖRSAMLING,38005000,0
FUNBO FÖRSAMLING,38006000,0
HAGBY FÖRSAMLING C LÄN,38007000,0
RAMSTA FÖRSAMLING,38008000,0
BALINGSTA FÖRSAMLING,38009000,0
VÄSTERÅKERS FÖRSAMLING,38010000,0
DALBY FÖRSAMLING C LÄN,38011000,0
UPPSALA NÄS FÖRSAMLING,38012000,0
VÄNGE OCH LÄBY FÖRSAMLING,38014002,0
ÅLANDS FÖRSAMLING,38015000,0
SKOGS TIBBLE FÖRSAMLING,38016000,0
JÄRLÅSA FÖRSAMLING,38017000,0
JUMKILS FÖRSAMLING,38018000,0
BÖRJE FÖRSAMLING,38019000,0
ÅKERBY FÖRSAMLING,38020000,0
BÄLINGE FÖRSAMLING C LÄN,38021000,0
SKUTTUNGE FÖRSAMLING,38022000,0
TENSTA FÖRSAMLING,38023000,0
LENA FÖRSAMLING C LÄN,38024000,0
ÄRENTUNA FÖRSAMLING,38025000,0
BJÖRKLINGE FÖRSAMLING,38026000,0
VIKSTA FÖRSAMLING,38027000,0
KNUTBY FÖRSAMLING,38028000,0
BLADÅKERS FÖRSAMLING,38029000,0
FARINGE FÖRSAMLING,38030000,0
ALMUNGE FÖRSAMLING,38031000,0
LAGGA FÖRSAMLING,38032000,0
ALSIKE FÖRSAMLING,38033000,0
VASSUNDA FÖRSAMLING,38034000,0
KNIVSTA FÖRSAMLING,38035000,0
ÖSTUNA FÖRSAMLING,38036000,0
HUSBY LÅNGHUNDRA FÖRSAMLING,38037000,0
STAVBY FÖRSAMLING,38039000,0
TUNA FÖRSAMLING C LÄN,38040000,0
RASBO FÖRSAMLING,38041000,0
RASBOKILS FÖRSAMLING,38042000,0
ENKÖPINGS FÖRSAMLING,38101000,0
ENKÖPINGS NÄS FÖRSAMLING,38102000,0
TEDA FÖRSAMLING,38103000,0
SVINNEGARNS FÖRSAMLING,38104000,0
TILLINGE FÖRSAMLING,38105000,0
BREDS FÖRSAMLING,38106000,0
SPARRSÄTRA FÖRSAMLING,38107000,0
BOGLÖSA FÖRSAMLING,38109000,0
LILLKYRKA FÖRSAMLING C LÄN,38110000,0
VALLBY FÖRSAMLING C LÄN,38111000,0
KUNGS HUSBY FÖRSAMLING,38112000,0
ARNÖ FÖRSAMLING,38112002,0
TORSVI FÖRSAMLING,38113000,0
VECKHOLMS FÖRSAMLING,38114000,0
HACKSTA FÖRSAMLING,38115000,0
LÖTS FÖRSAMLING C LÄN,38116000,0
VILLBERGA FÖRSAMLING,38117000,0
HUSBY SJUTOLFTS FÖRSAMLING,38118000,0
LITSLENA FÖRSAMLING,38119000,0
HÄRKEBERGA FÖRSAMLING,38120000,0
HOLMS FÖRSAMLING C LÄN,38121000,0
FITTJA FÖRSAMLING,38122000,0
KULLA FÖRSAMLING,38123000,0
HJÄLSTA FÖRSAMLING,38124000,0
GIRESTA FÖRSAMLING,38125000,0
FRÖSLUNDA FÖRSAMLING,38126000,0
BISKOPSKULLA FÖRSAMLING,38127000,0
LÅNGTORA FÖRSAMLING,38128000,0
NYSÄTRA FÖRSAMLING C LÄN,38129000,0
GRYTA FÖRSAMLING,38130000,0
SIMTUNA FÖRSAMLING,38131000,0
FRÖSTHULTS FÖRSAMLING,38132000,0
HÄRNEVI FÖRSAMLING,38133000,0
TORSTUNA FÖRSAMLING,38134000,0
ÖSTERUNDA FÖRSAMLING,38135000,0
ALTUNA FÖRSAMLING,38136000,0
ÖSTHAMMARS FÖRSAMLING,38201000,0
FORSMARKS FÖRSAMLING,38202000,0
VALÖ FÖRSAMLING,38203000,0
BÖRSTILS FÖRSAMLING,38204000,0
